rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
1,Michigan,B10,24-1,127.85679634293942,4,90.105166642071,1,0.9824368576921501,1,28.213264480850135,2.7867355191498637,17.58276581217553,2.4172341878244668,14-1,0.7625177796313934,0.7133541385941353,0.7952935403228989,0.7931336302551621,0.7367217949622543,0.8241601396662614,0.5998654680957786,0.6515002625842796,116.56655577667098,103.25613967776295,118.0186290946238,101.99812840656162,127.87564541633881,93.46492758156225,128.30772367572624,87.38334399899016,0.9880789627576537,14.0,0.05377298344369408,1306.0,1053.0,1063.45,1.228078423997367,0.9901734919366213,0.9107599376963493,0.9333333333333333,9.51221149155169,1,62,72.30248476270933
2,Houston,B12,23-2,126.53923856149109,6,91.5572021225306,3,0.9763686926869976,2,27.44736748395307,3.5526325160469296,15.447367483953068,2.55263251604693,11-1,0.6728689628085672,0.5369671268624203,0.8200959517502264,0.7084550746476134,0.5369671268624201,0.8323074813813643,0.6565249041506327,0.7877785426730166,114.17932430523874,105.21169745417177,115.42089134512196,104.0759254393121,129.22291471954895,91.12656910008364,131.5364237210311,96.7088075998331,0.9717268505902603,10.0,0.03333147241365442,934.0,752.0,773.375,1.2076935509940196,0.9723614029416519,0.8567305406436401,0.9166666666666666,7.187549795750397,5,100,63.258824635232415
3,Arizona,B12,23-2,124.90356960719755,16,90.73362801380105,2,0.9752908085080191,3,27.458225990642863,3.5417740093571366,14.458225990642864,3.5417740093571366,10-2,0.6857230706826517,0.5745685964163916,0.8061404178044335,0.726564459720941,0.5745685964163916,0.836339249885338,0.6278817817104134,0.7112738577729378,114.8789017146457,104.25039011953086,116.34302640001505,103.2556720959344,124.92122842468628,90.73269825533028,124.65864204731851,89.78640010686094,0.9775481523102639,13.0,0.061679322575186046,1032.0,854.0,879.2875,1.1736775514265811,0.971240919494477,0.896736914047147,0.8333333333333334,7.866952059747242,4,52,70.9707368847261
4,Florida,SEC,19-6,125.29569233335232,14,91.61572914592793,4,0.9734119463153568,4,24.11200537541996,6.887994624580038,15.112005375419962,2.8879946245800387,10-2,0.7355942913328845,0.6219816422304546,0.8586746611938502,0.7475827078242949,0.6219816422304546,0.8382945885309572,0.6279033589105821,0.6918303570668738,117.54042808199007,104.47520358503509,117.66840055692494,104.21451692719641,128.3171358377813,90.86401276997337,127.10667092456069,93.12643249688047,0.9728086617341016,13.0,-0.07033634469340899,1056.0,871.0,867.375,1.217466493731085,1.0041792765528175,0.7975344432051713,0.8333333333333334,5.0356857836506155,15,323,69.99223118327083
5,Illinois,B10,21-5,132.0527712901719,1,97.41715663314946,24,0.9706391257026588,5,24.888308802617754,6.111691197382243,15.888308802617757,4.111691197382244,12-3,0.7154586142644676,0.5774399588632436,0.8166722948920319,0.7321037527414264,0.5774399588632438,0.8171688393744267,0.6191381311276504,0.7197926523655066,116.23965917127988,103.49818136308858,116.49084918719198,102.96192493437128,133.4452014174997,98.84587153833803,133.18967518855194,99.45167123260144,0.966404097704433,15.0,-0.009503627195503572,1210.0,1046.0,972.0124999999999,1.2448399583338692,1.0761178482787002,0.8186584728216111,0.8,6.21936942500651,8,206,65.29226528700175
6,Duke,ACC,23-2,124.28809365962849,19,91.75616280038517,5,0.9703983586461861,6,27.49663658068064,3.5033634193193617,16.12713524935524,1.8728647506447584,12-1,0.6940165068776603,0.5941026119676308,0.7862447175638412,0.7282166665502128,0.6239744770234033,0.8035026923195748,0.6165690892924113,0.623538113613766,115.0724750530461,103.67402499404535,116.12348615310957,102.86074972227243,124.98308284934042,92.64569816426621,124.9765794791093,89.84006324432866,0.9780350267313425,15.0,0.09216011781442746,1010.0,827.0,848.8999999999999,1.1897750029449878,0.9742019083519851,0.8483734266844827,0.9230769230769231,8.621310347645286,2,24,66.26106423159789
7,Purdue,B10,21-4,129.5958923323991,2,96.724080269749,21,0.9665740384721918,7,25.421688813589892,5.578311186410111,15.421688813589887,4.57831118641011,11-3,0.737809749335657,0.6355712810962484,0.8181399743809064,0.7694627377025883,0.6355712810962479,0.8431030388360755,0.6004602270389396,0.7085985269031024,116.80791596884619,103.34416980663555,117.8042275203768,102.57969181007793,129.98980727266937,97.24108757130969,130.25936053175016,94.44688696232767,0.9758054059834598,13.0,0.037680607771123364,1112.0,979.0,920.075,1.208597125234356,1.0640436920903187,0.9013501892314703,0.7857142857142857,7.010387808767526,6,95,65.18719917189158
8,Iowa St.,B12,22-3,124.4630058104149,18,93.23273911161984,9,0.9651913449965368,8,25.99169346413329,5.008306535866709,12.991693464133292,5.008306535866709,9-3,0.6331019588298512,0.4716714375312497,0.8079850235700029,0.6801172447922565,0.4716714375312497,0.8306614389252057,0.6634430243492123,0.7912085004739359,112.00405590355085,104.90858379524789,114.01741939989375,103.83057220435015,123.56598344367309,93.20384171666755,118.84775554433686,94.39340255423211,0.9339665660865524,8.0,0.028070545128207836,930.0,796.0,802.8624999999998,1.1583552600850087,0.9914524591695342,0.8760142696356118,0.75,5.704816781061679,10,117,67.56040047336339
9,Connecticut,BE,24-2,123.85197618839966,20,93.88987018608996,11,0.9602694313554799,9,28.048173967154302,2.9518260328457018,18.048173967154302,1.9518260328457009,14-1,0.6894095405163395,0.5867136418950227,0.7647198661719722,0.7081808174165405,0.5867136418950227,0.7749877639533755,0.664131729100533,0.6376318775718793,114.56916316588666,104.30432322266914,114.70653851302578,103.70855128954392,123.73700108415076,94.86046742248296,122.07442673485343,93.3833671772923,0.9561044057106152,11.0,0.11684968044359945,1192.0,1014.0,1009.1125,1.1812359870678444,1.0048433648379145,0.8057914572975853,0.9333333333333333,8.328136986805308,3,10,64.81420015652829
10,Vanderbilt,SEC,21-4,125.38186717310487,12,96.53721982936409,20,0.952867224500604,10,25.099653879982704,5.9003461200173,12.0996538799827,5.9003461200173,8-4,0.6762530266284333,0.5284020433044799,0.8364249252293829,0.7140728230575029,0.5284020433044798,0.8481683862124639,0.6618200562679493,0.8011456577120049,115.24011234229405,105.7902455506804,116.10591908331106,104.70174217316469,124.47805718856223,98.08564440221193,131.00187815828411,97.20010000398216,0.9686915762131829,11.0,0.02417569226829741,985.0,921.0,841.9500000000002,1.1699032009026662,1.093889185818635,0.8716553081786259,0.6666666666666666,5.260641405203446,12,124,69.75550661921231
11,Texas Tech,B12,19-6,125.52503103934423,10,96.85256671648393,22,0.9517600722671982,11,23.267730521952025,7.7322694780479795,13.26773052195202,4.732269478047979,9-3,0.7326285023764117,0.6386984748364426,0.8343860322113783,0.7493480562388688,0.6386984748364425,0.8292616428072879,0.6108152425173824,0.6912891727563787,117.87417109243773,103.51426624377378,117.74856740561948,102.86495358970237,126.38262128166389,94.36823530891502,126.97620387268837,99.10546346137197,0.9453121674037376,12.0,0.03206122706706094,961.0,858.0,822.2375000000001,1.1687620669210537,1.0434941242645828,0.8190128639991072,0.75,5.07983691490093,14,103,67.25935534347211
12,Nebraska,B10,22-3,120.16129185919829,43,92.92171233103848,6,0.950564744811734,12,26.461328687169154,4.538671312830851,15.46132868716915,4.538671312830851,11-3,0.6637344406410176,0.4150834361130579,0.8591030870558428,0.6859933958426082,0.41508343611305776,0.8349938736938608,0.661580941044804,0.8864631133365395,115.14488054139082,105.19440724385983,115.65200722800724,104.79970482301687,123.28797187326225,91.02242634341609,125.26506832577914,93.4365389487414,0.966792879177731,13.0,0.10461419868910171,1071.0,928.0,929.7,1.1519845111326235,0.9981714531569323,0.7787390425159026,0.7857142857142857,6.6581481864983,7,15,67.04693540786695
